	ASF356	ASF360	ASF361	ASF457	ASF492	ASF500	ASF502	ASF519
J	0	0	1	0	1	1	2	28
K	3	1	1	1	4	4	4	47
L	4	0	5	4	8	4	11	41
D	0	1	0	0	0	0	1	5
V	1	0	0	3	2	1	3	13
T	0	0	1	1	1	1	2	33
M	1	2	2	6	9	0	4	90
N	0	0	0	0	0	0	0	1
U	0	0	0	2	0	0	0	15
O	0	0	3	0	3	0	0	24
C	2	0	0	2	1	0	1	28
G	0	1	3	2	3	1	5	50
E	1	1	0	1	2	1	4	34
F	0	0	0	0	2	0	1	15
H	0	0	0	3	1	0	1	21
I	0	0	0	1	1	0	2	8
P	0	1	0	3	0	3	3	69
Q	0	0	1	0	1	0	0	4
S	14	3	8	11	15	12	20	510
