	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	S	T	U	V	Z
0	0.0	0.0	0.0837386018237	0.009726443769	0.0630699088146	0.0123100303951	0.0629179331307	0.027811550152	0.0367781155015	0.0162613981763	0.203343465046	0.0620060790274	0.0896656534954	0.0106382978723	0.043009118541	0.0705167173252	0.0413373860182	0.0	0.112765957447	0.0325227963526	0.0215805471125	0.0
1	0.000125078173859	0.0	0.0839274546592	0.00913070669168	0.0689180737961	0.0118824265166	0.0685428392745	0.0280175109443	0.0308943089431	0.0218886804253	0.192495309568	0.0652908067542	0.096435272045	0.0108818011257	0.045153220763	0.0799249530957	0.034521575985	0.0	0.0984365228268	0.031894934334	0.0216385240775	0.0
2	0.0	0.000272145870186	0.0702136345081	0.0111579806776	0.0620492584025	0.010205470132	0.070077561573	0.0268063682134	0.0317049938767	0.0246292012519	0.182882024765	0.0762008436522	0.0975642944618	0.0123826370935	0.0502109130494	0.0806912505103	0.0363314736699	0.0	0.0945706898898	0.0374200571506	0.0243570553817	0.000272145870186
3	0.0	0.0	0.077858023604	0.0109212612295	0.0588338911397	0.0123304562269	0.0664083142505	0.0267747049498	0.0283600493218	0.0255416593271	0.174916329047	0.079443367976	0.102166637308	0.0119781574775	0.0502025717809	0.0817333098468	0.0276554518231	0.0	0.0931830192003	0.0449180905408	0.0267747049498	0.0
4	0.0	0.0	0.0720317933433	0.0109289617486	0.0635866865375	0.0126676602086	0.0688027819175	0.028564331843	0.0206159960258	0.0278191753602	0.163189269747	0.0844510680576	0.112021857923	0.0151515151515	0.0573770491803	0.0762543467462	0.0255837059116	0.0	0.0894187779434	0.041480377546	0.0300546448087	0.0
5	0.0	0.0	0.0721420643729	0.0125786163522	0.0540140584536	0.016278209397	0.0758416574177	0.0295967443581	0.0214576396596	0.031076581576	0.15205327414	0.0873103958565	0.113947465779	0.0136884942656	0.0588235294118	0.070662227155	0.0210876803552	0.0	0.0961894191639	0.0432852386238	0.0299667036626	0.0
6	0.00106723585912	0.0	0.0586979722519	0.0160085378869	0.0586979722519	0.0154749199573	0.0805763073639	0.0282817502668	0.0282817502668	0.0309498399146	0.160085378869	0.0976520811099	0.104055496265	0.0144076840982	0.0490928495197	0.0693703308431	0.0218783351121	0.0	0.0912486659552	0.0362860192102	0.0378868729989	0.0
7	0.000750750750751	0.0	0.0690690690691	0.012012012012	0.0653153153153	0.0165165165165	0.0878378378378	0.0202702702703	0.0135135135135	0.0225225225225	0.142642642643	0.105105105105	0.128378378378	0.018018018018	0.0412912912913	0.0683183183183	0.0157657657658	0.0	0.0900900900901	0.039039039039	0.0435435435435	0.0
8	0.0	0.0	0.0604304635762	0.0091059602649	0.0637417218543	0.0149006622517	0.113410596026	0.0248344370861	0.0157284768212	0.0273178807947	0.151490066225	0.105132450331	0.125	0.0149006622517	0.0455298013245	0.0620860927152	0.0115894039735	0.0	0.0836092715232	0.0240066225166	0.0471854304636	0.0
9	0.0	0.0	0.0561797752809	0.0149812734082	0.0571161048689	0.0149812734082	0.112359550562	0.0252808988764	0.0196629213483	0.0308988764045	0.160112359551	0.12265917603	0.119850187266	0.0131086142322	0.0402621722846	0.0730337078652	0.0121722846442	0.0	0.0749063670412	0.0140449438202	0.0383895131086	0.0
10	0.0	0.0	0.0692225772098	0.00851970181044	0.0543130990415	0.0170394036209	0.129925452609	0.0191693290735	0.0212992545261	0.0212992545261	0.137380191693	0.111821086262	0.128860489883	0.0117145899894	0.04898828541	0.0479233226837	0.0191693290735	0.0	0.0745473908413	0.0202342917998	0.0585729499468	0.0
11	0.0	0.0	0.0472516875603	0.0106075216972	0.0597878495661	0.0192864030858	0.109932497589	0.0212150433944	0.0173577627772	0.0260366441659	0.134040501446	0.120540019286	0.128254580521	0.0154291224687	0.0424300867888	0.0675024108004	0.0192864030858	0.0	0.0752169720347	0.0106075216972	0.0752169720347	0.0
12	0.0	0.0	0.0547184773989	0.0126883425852	0.0610626486915	0.0198255352895	0.116574147502	0.0190325138779	0.0222045995242	0.03013481364	0.126883425852	0.143536875496	0.108643933386	0.0174464710547	0.0436161776368	0.0618556701031	0.00793021411578	0.0	0.0753370340999	0.0222045995242	0.056304520222	0.0
13	0.0	0.0	0.0499398315283	0.0126353790614	0.0643802647413	0.0234657039711	0.0914560770156	0.0216606498195	0.017448856799	0.0276774969916	0.137184115523	0.17027677497	0.0932611311673	0.0150421179302	0.0312876052948	0.0487364620939	0.017448856799	0.0	0.0824308062575	0.0156438026474	0.0800240673887	0.0
14	0.0	0.0	0.0713664055701	0.0134899912968	0.0831157528285	0.0395996518712	0.0983463881636	0.0443864229765	0.0248041775457	0.0757180156658	0.0752828546562	0.123585726719	0.117928633594	0.00609225413403	0.0439512619669	0.0770234986945	0.00522193211488	0.0	0.0483028720627	0.0152306353351	0.0365535248042	0.0
