Spent356	Spent360	Spent361	Spent492	Spent500	Spent502	Spent519
ASF356	-0.999562007344291	0.0634994725230023	-0.999851862204008	-0.0987705247041035	-0.957783385280855	-0.235706721660431	-0.548781523727993
ASF360	-0.995784063940173	-0.998862549224204	-0.998902639724047	-0.991338541596724	-0.914413828400446	-0.96847784982094	-0.968720264112065
ASF361	-0.998266255863519	-0.964505952443569	-0.998867826258721	-0.928825133428994	-0.993783523011771	-0.997474669467941	-0.968856501345153
ASF492	-0.993741739755564	-0.906164085751439	-0.999555623927392	-0.995734833341663	-0.813763304975798	-0.822250463826566	-0.997837646590716
ASF500	-0.975349654031354	-0.970329488178649	-0.975191055452124	-0.987823933155036	-0.984320900906465	-0.986671295170967	-0.985339260212377
ASF502	-0.953554332435284	-0.997772024044874	-0.996270403391454	-0.789955433331272	-0.997775084503382	-0.996965377209631	-0.993629982634917
ASF519	-0.837016810196047	-0.543402202173855	-0.973385374274939	-0.0862343061114875	0.010752701344252	-0.573406445970018	-0.998823677691417
